StockCode,StockName,Category
5487,通泰,24
5016,松和,10
3511,矽瑪,28
6597,立誠,28
5483,中美晶,24
9962,有益,10
4105,東洋,22
6508,惠光,33
6664,群翊,28
6220,岳豐,28
2949,欣新網,36
8358,金居,28
4577,達航科技,31
5347,世界,24
5701,劍湖山,16
8050,廣積,25
3689,湧德,28
6188,廣明,25
2756,聯發國際,16
5013,強新,10
7718,友鋮,10
3066,李洲,26
6683,雍智科技,24
6530,創威,27
4716,大立,21
3466,德晉,27
4161,聿新科,22
6146,耕興,31
6762,達亞,22
5609,中菲行,15
6229,研通,24
4419,皇家美食,16
8927,北基,23
6127,九豪,28
8472,夠麻吉,36
5301,寶得利,16
6763,綠界科技*,36
6751,智聯服務,30
6118,建達,29
6996,力領科技,24
3064,泰偉,32
5474,聰泰,25
8040,九暘,24
5530,龍巖,20
2643,捷迅,15
6651,全宇昕,24
6662,樂斯科,22
7714,創泓科技,36
1813,寶利徠,22
2724,藝舍-KY,20
1569,濱川,25
6462,神盾,24
5328,華容,28
3552,同致,31
8936,國統,20
1584,精剛,20
4924,欣厚-KY,25
4933,友輝,26
3219,倚強科,31
8074,鉅橡,28
5251,天鉞電,26
8289,泰藝,28
5212,凌網,30
6913,鴻呈,28
6143,振曜,27
5209,新鼎,20
3259,鑫創,24
4714,永捷,21
5536,聖暉*,31
3498,陽程,31
6469,大樹,22
8069,元太,26
6859,伯特光,26
3675,德微,24
4160,訊聯基因,22
6494,九齊,24
6482,弘煜科,32
5228,鈺鎧,28
4121,優盛,22
6244,茂迪,26
6997,博弘,36
5211,蒙恬,30
2752,豆府,16
6241,易通展,27
5452,佶優,31
4102,永日,22
6929,佑全,22
3564,其陽,27
6532,瑞耘,24
5202,力新,30
5432,新門,35
4974,亞泰,28
8043,蜜望實,28
4130,健亞,22
4735,豪展,22
3546,宇峻,32
6803,崑鼎,35
8941,關中,38
6679,鈺太,24
6441,廣錠,25
5276,達輝-KY,20
8932,智通*,20
5903,全家,38
5410,國眾,30
6171,大城地產,14
3693,營邦,25
3567,逸昌,24
3357,臺慶科,28
2745,五福,16
6204,艾華,28
5465,富驊,25
8024,佑華,24
7734,印能科技,24
2734,易飛網,16
4420,光明,04
8147,正淩,28
3268,海德威,24
8086,宏捷科,24
4535,至興,05
2948,寶陞,38
8933,愛地雅,37
6113,亞矽,29
6015,宏遠證,17
4702,中美實,38
4153,鈺緯,22
3434,哲固,26
3646,艾恩特,28
6270,倍微,29
5543,桓鼎-KY,14
4167,松瑞藥,22
3332,幸康,28
3491,昇達科,27
4556,旭然,20
6263,普萊德,27
2719,燦星旅,16
3666,光耀,26
3171,炎洲流通,38
5457,宣德,28
6821,聯寶,28
2064,晉椿,10
6761,穩得,28
3360,尚立,29
6535,順藥,22
5314,世紀*,20
6140,訊達,30
6739,竹陞科技,31
3252,海灣,16
6588,東典光電,27
3085,新零售,36
8059,凱碩,27
6129,普誠,24
5511,德昌,14
6228,全譜,25
3205,佰研,22
6569,醫揚,22
6680,鑫創電子,25
3323,加百裕,25
7584,樂意,32
8034,榮群,27
4609,唐鋒,38
6218,豪勉,27
3479,安勤,25
6223,旺矽,24
6134,萬旭,28
2732,六角,16
6899,創為精密,26
8435,鉅邁,20
5904,寶雅,38
6637,醫影,22
3169,亞信,24
6865,偉康科技,36
6248,沛波,10
4768,晶呈科技,21
3664,安瑞-KY,27
6210,慶生,28
3709,鑫聯大投控,25
6190,萬泰科,27
8416,實威,30
5364,力麗店,16
4744,皇將,22
3441,聯一光,26
5475,德宏,28
3264,欣銓,24
8437,大地-KY,20
8068,全達,29
5478,智冠,32
4554,橙的,31
2641,正德,15
5460,同協,28
6194,育富,28
5426,振發,25
6198,瑞築,14
6895,宏碩系統,24
5878,台名,17
7709,榮田,05
6556,勝品,26
5011,久陽,10
8048,德勝,27
4528,江興鍛,05
3191,雲嘉南,28
6167,久正,26
5302,太欣,24
5905,南仁湖,16
4168,醣聯,22
1595,川寶,28
3128,昇銳,26
6195,詩肯,38
4406,新昕纖,04
6732,昇佳電子,24
6640,均華,24
4128,中天,22
8083,瑞穎,05
6925,意藍,36
2640,大車隊,36
8401,白紗科,20
6788,華景電,24
3632,研勤,27
4966,譜瑞-KY,24
6212,理銘,14
2718,全心投控,14
8044,網家,36
1294,漢田生技,02
3131,弘塑,31
4972,湯石照明,26
8931,大汽電,23
8421,旭源,20
8426,紅木-KY,20
4127,天良,22
6527,明達醫,22
8042,金山電,28
8935,邦泰,20
6692,進能服,35
2067,嘉鋼,05
5371,中光電,26
5014,建錩,10
4527,方土霖,05
8121,越峰,28
8093,保銳,28
6158,禾昌,28
4728,雙美,22
3499,環天科,27
6275,元山,28
4911,德英,22
4188,安克,22
6823,濾能,24
